"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-05",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-06",,,"0.30",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-08",,,"0.18",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-09",,,"0.53",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-11",,,"0.25",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-12",,,"0.75",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-16",,,"0.12",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-17",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-18",,,"0.69",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-19",,,"0.16",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-20",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-21",,,"0.15",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-22",,,"0.35",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-23",,,"0.25",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-24",,,"1.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-25",,,"0.45",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-26",,,"0.25",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-27",,,"0.35",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-28",,,"0.14",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-30",,,"0.49",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-01-31",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-02",,,"0.13",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-15",,,"0.41",,
